num,No-PS,eager
896,4497.8525,2325.941783
897,4502.954,2327.619783
898,4507.7055,2329.262283
899,4512.76,2331.015783
900,4518.5665,2332.701783
901,4523.04,2334.366283
902,4528.1335,2336.016783
903,4533.507,2346.620959
904,4538.0115,2348.096959
905,4543.64,2349.747459
906,4548.0645,2351.269459
907,4552.6665,2352.835459
908,4558.4995,2354.685459
909,4563.117,2356.213459
910,4567.6245,2358.023459
911,4573.0155,2359.695459
912,4578.0005,2361.515959
913,4582.99,2363.171459
914,4587.689,2364.697959
915,4593.0765,2366.460459
916,4598.037,2368.111459
917,4602.494,2369.778959
918,4608.115,2371.444959
919,4613.633,2373.117459
920,4618.186,2377.806959
921,4624.0065,2379.676959
922,4628.2285,2381.333459
923,4632.636,2382.852959
924,4636.785,2384.404459
925,4641.815,2386.058459
926,4647.4005,2387.720959
927,4652.995,2389.523959
928,4657.143,2391.079959
929,4662.9675,2392.979459
930,4668.571,2394.744959
931,4673.307,2396.406959
932,4678.278,2398.176959
933,4682.856,2399.735459
934,4688.1805,2401.266459
935,4692.6905,2402.983459
936,4698.1085,2404.625959
937,4702.677,2406.193459
938,4707.5085,2407.778459
939,4713.2405,2409.472459
940,4717.9655,2411.115459
941,4723.7745,2412.795959
942,4729.0945,2414.332959
943,4733.588,2416.002959
944,4739.4435,2417.750459
945,4744.1975,2419.545959
946,4748.6155,2421.066959
947,4754.153,2422.773459
948,4759.1095,2424.307959
949,4764.294,2425.879459
950,4769.082,2427.419959
951,4774.2465,2429.086959
952,4779.3545,2430.824459
953,4784.5315,2432.547959
954,4789.0375,2434.287459
955,4793.4865,2435.853959
956,4798.354,2437.580459
957,4803.443,2439.352959
958,4808.7045,2441.134459
959,4813.3,2442.700959
960,4818.02,2444.349459
961,4823.034,2446.033959
962,4828.039,2447.710959
963,4832.55,2449.172459
964,4838.115,2450.838459
965,4842.845,2452.522459
966,4847.759,2454.044459
967,4853.0095,2455.710959
968,4857.729,2457.400959
969,4862.2125,2459.096959
970,4867.215,2460.787959
971,4872.876,2462.450459
972,4878.188,2463.999959
973,4883.516,2465.534459
974,4888.234,2467.198959
975,4893.03,2468.741459
976,4898.158,2470.398459
977,4903.689,2472.050459
978,4908.748,2473.782459
979,4914.4755,2475.472959
980,4919.2235,2477.112959
981,4925.0935,2478.783959
982,4929.6005,2480.414459
983,4934.645,2481.955959
984,4939.2575,2483.538959
985,4944.08,2485.051459
986,4949.4405,2486.616959
987,4954.1755,2488.255459
988,4959.0855,2489.773459
989,4963.869,2491.301459
990,4968.0935,2492.842459
991,4973.419,2494.511959
992,4978.333,2496.102459
993,4982.2975,2497.752459
994,4986.4185,2499.311459
995,4991.275,2500.949959
996,4997.0085,2502.634959
997,5002.7725,2504.315959
998,5007.401,2505.858959
999,5013.22,2507.603959
1000,5018.03,2509.136459
1001,5023.347,2510.969459
1002,5029.0815,2512.645459
1003,5033.558,2514.296959
1004,5038.941,2515.755459
1005,5044.684,2517.444959
1006,5049.273,2518.994959
1007,5053.8035,2520.625959
1008,5058.7305,2522.142459
1009,5064.0965,2523.896459
1010,5068.918,2525.539459
1011,5074.513,2527.214959
1012,5079.263,2528.876959
1013,5083.231,2530.517459
1014,5087.7615,2532.167959
1015,5093.6035,2533.839459
1016,5098.257,2535.308459
1017,5103.0735,2536.816459
1018,5108.3485,2538.494959
1019,5112.907,2540.060459
1020,5118.7545,2552.051161
1021,5123.2735,2553.684661
1022,5128.4445,2555.354661
1023,5134.0675,2556.999661
1024,5138.6015,2558.814161
1025,5144.3345,2570.786462
1026,5148.9105,2572.406462
1027,5154.7345,2574.152462
1028,5159.772,2575.898962
1029,5165.1205,2577.469962
1030,5169.721,2579.027462
1031,5173.7625,2580.671962
1032,5179.029,2582.359462
1033,5183.8475,2584.101962
1034,5189.469,2585.854962
1035,5194.793,2590.702962
1036,5200.137,2592.223462
1037,5205.549,2593.884962
1038,5210.092,2595.532462
1039,5214.31,2597.229962
1040,5218.8335,2598.963962
1041,5224.0975,2600.596462
1042,5229.8535,2602.205462
1043,5235.671,2604.111462
1044,5240.501,2605.623962
1045,5245.2845,2607.055962
1046,5249.487,2608.617962
1047,5254.282,2613.396462
1048,5258.2815,2615.037462
1049,5262.4845,2616.702462
1050,5266.4635,2624.701553
1051,5272.2875,2626.464553
1052,5277.4975,2628.319553
1053,5282.051,2629.884553
1054,5287.399,2631.470053
1055,5291.9865,2633.031053
1056,5296.2295,2634.679553
1057,5301.2265,2636.365553
1058,5305.9455,2638.004053
1059,5310.9435,2639.683553
1060,5316.7675,2641.350053
1061,5322.599,2643.011553
